,fecha,hora_declarada,ruta,operador,tipo_aeronave,total_abordo,pasajeros_abordo,tripulacion_abordo,total_fatalidades,pasajeros_fatalidades,tripulacion_fatalidades,tierra_fatalidades
2712,1974-01-06,1525,"Mukachevo, Ukraine",Aeroflot,Antonov AN-24V,24,18,6,24,18,6,0
2713,1974-01-09,1636,"Near Nevia, Colombia",SATENA,Hawker Siddeley HS 748-260,31,28,3,31,28,3,0
2714,1974-01-10,1630,"La Paz, Bolivia",TAM (Bolivia),Douglas C-54,24,21,3,24,21,3,0
2715,1974-01-17,1315,"Cigorodo, Colombia",Cessnyca,Douglas DC-3A,14,11,3,14,11,3,0
2716,1974-01-26,730,"Izmir, Turkey",Turkish Airlines (THY),Fokker F-28 Fellowship 1000,73,68,5,66,62,4,0
2717,1974-01-30,2341,"Pago Pago, American Samoa",Pan American World Airways,Boeing B-707-321B,101,91,10,97,87,10,0
2718,1974-02-02,2130,"Near Honolulu, HI",Pan American World Airways,Boeing B-747,298,279,19,1,1,0,0
2719,1974-02-09,1730,"Near Souda, Crete",Military - West German Air Force,Transall C-160D,40,35,5,35,30,5,0
2720,1974-02-22,,"Baltimore, Maryland",Delta Air Lines,Mc Donnell Dougals DC-9,15,10,5,1,0,1,0
2721,1974-02-23,,"San Francisco de Moxos,  Bolivia",SAVCO,Curtiss C-46A-45-CU,7,4,3,7,4,3,0
2722,1974-03-03,1141,"Near Ermenonville, France",Turkish Airlines (THY),McDonnell Douglas DC-10-10,346,335,11,346,335,11,0
2723,1974-03-08,,"Hanoi, Vietnam",Pathet Lao Airlines,Antonov An-24,18,15,3,18,15,3,0
2724,1974-03-13,1928,"Bishop, California",Sierra Pacific Airlines,Convair CV-440,36,32,4,36,32,4,0
2725,1974-03-15,807,"Tehran, Iran",Sterling Airways,Aerospatiale Caravelle 10B3,96,92,4,15,15,0,0
2726,1974-04-04,235,"Francistown, Botswana",Wenela Air Services,Douglas DC-4,84,80,4,78,75,3,0
2727,1974-04-22,1526,"Grogak, Bali, Indonesia",Pan American World Airways,Boeing B-707-321C,107,96,11,107,96,11,0
2728,1974-04-27,1807,"Near Leningrad, USSR",Aeroflot,Ilyushin IL-18B,109,102,7,109,102,7,0
2729,1974-04-30,1347,"Galveston, Texas",Houston Metro Airlines,Beechcraft 99,12,10,2,6,5,1,0
2730,1974-05-02,1930,"Banos, Ecuador",Aero Taxis Equatorianos,Douglas C-47,24,21,3,22,19,3,0
2731,1974-05-06,2222,"Nurnberg, Germany",Fragtflug,Douglas DC-6A,3,0,3,3,0,3,0
2732,1974-05-23,1655,"Springfield, Illinois",Saturn Airways,Lockheed L-100-30 Hercules,3,1,2,3,1,2,0
2733,1974-05-23,2205,"Kiev, Ukraine, USSR",Aeroflot,Yakovlev YAK-40,29,25,4,29,25,4,0
2734,1974-05-31,,"Rankin Inlet, Canada",Lambair,Bristol 170 Freighter 31E,2,0,2,2,0,2,0
2735,1974-06-08,1730,"Monte San Isidro,  Colombia",Aerolineas TAO,Vickers Viscount 785D,44,38,6,44,38,6,0
2736,1974-06-27,,"Battambang, Khmer Republic",Cambodia Air,Boeing 307B-1 Stratoliner,39,33,6,19,17,2,0
2737,1974-06-30,1300,"Umiat, Alaska",Alaska Helicopter - Air Taxi,Fairchild Hiller FH1100,5,4,1,5,4,1,0
2738,1974-07-24,945,"Bogota, Colombia",Aeronorte Colombia,Douglas DC-4,3,0,3,3,0,3,0
2739,1974-07-27,,"Near Moc Hoa, Vietnam",Air Amercia,Fairchild C-123K,5,1,4,5,1,4,0
2740,1974-08-05,,"Mt. Apica, PQ, Canada",Laurentian Air Services,Douglas DC-3,11,8,3,5,2,3,0
2741,1974-08-11,,"Near Ouagadougou, Upper Volta",Air  Mali,Ilyushin IL-18B,60,50,10,47,39,8,0
2742,1974-08-12,1450,"Cali, Colombia",AVIANCA,Douglas C-47-DL,27,24,3,27,24,3,0
2743,1974-08-14,920,"Margarita Island, Venezuela",Linea Aeropostal Venezolana,Vickers Viscount 749,49,45,4,49,45,4,0
2744,1974-08-18,,"Near Kisangani, Zaire",Military - Zairean Air Force,Lockheed C-130H,31,24,7,31,24,7,0
2745,1974-09-07,,"Tandjung-karang, Indonesia",Garuda Indonesia Airlines,Fokker F-27 Friendship 600,39,36,3,36,33,3,0
2746,1974-09-08,1140,"Ionian Sea , off Kefallinia, Greece",Trans World Airlines,Boeing B-707-331B,88,79,9,88,79,9,0
2747,1974-09-11,734,"Near Charlotte, North Carolina",Eastern Air Lines,McDonnell Douglas DC-9-31,82,78,4,70,68,2,0
2748,1974-09-15,1100,"Phan Rang, South Vietnam",Air Vietnam (South Vietnam),Boeing B-727-121C,75,67,8,75,67,8,0
2749,1974-10-19,1115,"Calapan, Philippines",Mabuhay Airways,Douglas DC-3,8,4,4,1,0,1,0
2750,1974-10-27,2336,"Old Man's Camp, Alaska",Alaska International Air,Lockheed L-100 Hercules,4,0,4,4,0,4,0
2751,1974-10-28,1645,"Pagosa Springs, Colorado",Hlavka Aviation - Air Taxi,Beechcraft 95-B55,2,1,1,2,1,1,0
2752,1974-11-01,1456,"Near Surgut, Russia",Aeroflot,Antonov An-2 / Mil Mi-8T,38,32,6,38,32,6,0
2753,1974-11-15,,"Manila, Philippines",Orient Air System and Integrated Services,Douglas C-47A-30,8,5,3,1,1,0,0
2754,1974-11-20,754,"Near Nairobi, Kenya",Lufthansa,Boeing B-747-130,157,144,13,59,55,4,0
2755,1974-11-20,930,"Soddu, Ethiopia",Ethiopian Airlines,Douglas DC-3,24,21,3,2,0,2,0
2756,1974-11-22,,"Barcelona, Spain",Alpa Servicios Aéreos,Cessna 500 Citation I,4,0,4,4,0,4,0
2757,1974-12-01,1110,"Near Berryville, Virginia",Trans World Airlines,Boeing B-727-231,92,85,7,92,85,7,0
2758,1974-12-01,1926,"Bear Mountain,  Thiells, New York",Northwest Orient Airlines,Boeing B-727-251,3,0,3,3,0,3,0
2759,1974-12-04,458,"Irkutsk, Russia",Aeroflot,Antonov An-2 / Antonov An-12,18,11,7,13,11,2,0
2760,1974-12-04,2215,"Near Maskeliya, Sri Lanka",Martinair Holland NV,McDonnell Douglas DC-8-55F,191,182,9,191,182,9,0
2761,1974-12-11,,"Near Old Harbors, Alaska",Kodiak Airways,Grumman G-21,5,4,1,5,4,1,0
2762,1974-12-12,,"Near Moc Hoa, South Vietnam",Military - Vietnamese Air Force,Boeing Vertol CH-47 (helicopter),54,53,1,54,53,1,0
2763,1974-12-14,1101,"Bukhara, Uzbekistan",Aeroflot,Yakovlev 40,19,15,4,7,7,0,0
2764,1974-12-22,1330,"Maturin, Venezuela",Aerovias Venezolanas SA (Venezuela),McDonnell Douglas DC-9-14,77,71,6,77,71,6,0
